project_id,year,recipient_condensed,flow_class,usd_defl_2014,usd_current,recipient_iso3,recipient_region
119,2003,Botswana,ODA-like,"53,238,709","24,163,237",BWA,Africa
120,2003,Ghana,ODA-like,"61,692,225","28,000,000",GHA,Africa
130,2006,Ghana,ODA-like,"55,182,330","30,000,000",GHA,Africa
131,2005,Namibia,ODA-like,"59,923,459","30,508,950",NAM,Africa
132,2011,Cote D'Ivoire,Vague (Official Finance),,,CIV,Africa
134,2008,"Congo, Dem. Rep.",Vague (Official Finance),"48,618,576","35,258,622",COD,Africa
135,2006,Niger,OOF-like,"73,576,440","40,000,000",NER,Africa
138,2007,Senegal,ODA-like,"79,156,652","48,636,006",SEN,Africa
140,2005,Senegal,OOF-like,"196,412,718","100,000,000",SEN,Africa
141,2007,"Congo, Rep.",Vague (Official Finance),"91,141,786","56,000,000",COG,Africa
145,2007,Mauritius,ODA-like,"102,689,710","63,095,360",MUS,Africa
147,2005,Central African Rep.,OOF-like,"132,539,308","67,480,003",CAF,Africa
148,2011,Cote D'Ivoire,ODA-like,,,CIV,Africa
150,2006,Sudan,Vague (Official Finance),"148,992,290","81,000,000",SDN,Africa
151,2006,Ghana,OOF-like,"297,984,581","162,000,000",GHA,Africa
152,2002,Angola,ODA-like,"203,415,860","90,000,000",AGO,Africa
161,2007,"Congo, Rep.",ODA-like,"292,955,741","180,000,000",COG,Africa
163,2002,Nigeria,ODA-like,"452,035,245","200,000,000",NGA,Africa
165,2005,Sudan,OOF-like,"392,825,436","200,000,000",SDN,Africa
168,2005,Mauritania,ODA-like,"267,121,297","136,000,000",MRT,Africa
173,2005,Nigeria,OOF-like,"584,818,868","297,750,000",NGA,Africa
178,2003,Sudan,OOF-like,"1,143,509,457","519,000,000",SDN,Africa
179,2008,Nigeria,OOF-like,"689,456,547","500,000,000",NGA,Africa
182,2005,Sudan,OOF-like,"1,005,633,116","512,000,000",SDN,Africa
183,2007,Ghana,OOF-like,"475,239,313","292,000,000",GHA,Africa
184,2007,Mauritania,Vague (Official Finance),"732,864,098","450,291,697",MRT,Africa
187,2006,Guinea,Vague (Official Finance),"1,563,499,344","850,000,000",GIN,Africa
195,2006,Nigeria,ODA-like,"919,705,497","500,000,000",NGA,Africa
200,2005,Eritrea,ODA-like,"42,130,528","21,450,000",ERI,Africa
201,2009,Cameroon,OOF-like,"70,569,137","52,000,000",CMR,Africa
202,2000,Kenya,ODA-like,"250,611,998","108,000,000",KEN,Africa
205,2009,Equatorial Guinea,OOF-like,,,GNQ,Africa
206,2002,Angola,Vague (Official Finance),,,AGO,Africa
208,2006,Sudan,OOF-like,"53,342,919","29,000,000",SDN,Africa
229,2008,Nigeria,OOF-like,"6,894,565","5,000,000",NGA,Africa
230,2007,Tanzania,ODA-like,"7,320,417","4,497,864",TZA,Africa
231,2007,Gabon,ODA-like,,,GAB,Africa
233,2007,Togo,ODA-like,,,TGO,Africa
234,2007,Mali,ODA-like,"83,817,892","51,500,000",MLI,Africa
237,2006,Cape Verde,ODA-like,"8,093,408","4,400,000",CPV,Africa
239,2006,Rwanda,ODA-like,,,RWA,Africa
244,2006,Senegal,Vague (Official Finance),,,SEN,Africa
248,2005,Sudan,Vague (Official Finance),"63,834,133","32,500,000",SDN,Africa
272,2002,Algeria,Vague (Official Finance),"13,561,057","6,000,000",DZA,Africa
276,2002,Cameroon,ODA-like,"233,480","103,302",CMR,Africa
277,2001,Burundi,ODA-like,"103,949,848","45,722,577",BDI,Africa
278,2002,Cameroon,ODA-like,"12,971,102","5,738,978",CMR,Africa
280,2001,Burundi,ODA-like,"5,493,468","2,416,314",BDI,Africa
281,2003,Cameroon,ODA-like,"758,187","344,115",CMR,Africa
284,2003,Cameroon,ODA-like,,,CMR,Africa
285,2007,Gabon,ODA-like,,,GAB,Africa
287,2003,Cameroon,ODA-like,"344,975","156,573",CMR,Africa
288,2002,Burundi,ODA-like,,,BDI,Africa
289,2011,Cameroon,OOF-like,"601,169,136","541,600,000",CMR,Africa
290,2003,Burundi,ODA-like,"7,985,806","3,624,486",BDI,Africa
292,2005,Burundi,ODA-like,,,BDI,Africa
295,2005,Cameroon,ODA-like,,,CMR,Africa
296,2006,Cameroon,ODA-like,,,CMR,Africa
301,2010,Botswana,ODA-like,,,BWA,Africa
303,2010,Botswana,Vague (Official Finance),"7,430,713","5,908,185",BWA,Africa
309,2007,Cameroon,ODA-like,"6,418,107","3,943,460",CMR,Africa
311,2007,Cameroon,ODA-like,,,CMR,Africa
314,2007,Cameroon,OOF-like,"42,787,379","26,289,733",CMR,Africa
315,2007,Cameroon,ODA-like,"44,106,114","27,100,000",CMR,Africa
316,2007,Burundi,ODA-like,"45,568,559","27,998,566",BDI,Africa
317,2007,Cameroon,ODA-like,,,CMR,Africa
319,2007,Burundi,ODA-like,"1,759,570","1,081,128",BDI,Africa
327,2008,Burundi,ODA-like,,,BDI,Africa
330,2004,Algeria,Vague (Official Finance),"98,918,117","48,000,000",DZA,Africa
332,2002,Algeria,ODA-like,"6,780,529","3,000,000",DZA,Africa
334,2001,"Congo, Rep.",ODA-like,"170,511,792","75,000,000",COG,Africa
337,2000,Botswana,ODA-like,,,BWA,Africa
338,2010,Cameroon,ODA-like,,,CMR,Africa
339,2010,Cameroon,ODA-like,"18,403,274","14,632,505",CMR,Africa
344,2009,Cameroon,ODA-like,"1,051,911,430","775,117,802",CMR,Africa
345,2008,Burundi,ODA-like,"2,757,826","2,000,000",BDI,Africa
347,2010,Cameroon,ODA-like,"53,327","42,401",CMR,Africa
349,2011,Cameroon,ODA-like,"83,249,049","75,000,000",CMR,Africa
350,2011,Cameroon,ODA-like,"469,524,639","423,000,000",CMR,Africa
352,2003,Central African Rep.,ODA-like,"45,491,244","20,646,926",CAF,Africa
353,2003,Central African Rep.,ODA-like,,,CAF,Africa
354,2007,Zambia,OOF-like,"528,947,865","325,000,000",ZMB,Africa
355,2008,Burundi,OOF-like,"793,773","575,651",BDI,Africa
356,2011,Cameroon,ODA-like,"1,717,858","1,547,638",CMR,Africa
357,2010,Burundi,ODA-like,"7,430,713","5,908,185",BDI,Africa
359,2006,Cape Verde,ODA-like,"4,615,021","2,508,967",CPV,Africa
360,2008,Djibouti,ODA-like,"3,413,900","2,475,791",DJI,Africa
367,2006,Cape Verde,ODA-like,,,CPV,Africa
369,2006,"Congo, Rep.",Vague (Official Finance),,,COG,Africa
370,2007,Cape Verde,ODA-like,,,CPV,Africa
371,2007,Cape Verde,ODA-like,,,CPV,Africa
375,2003,Central African Rep.,ODA-like,"4,186,258","1,900,000",CAF,Africa
376,2003,Central African Rep.,ODA-like,,,CAF,Africa
377,2003,Central African Rep.,ODA-like,"246,411","111,838",CAF,Africa
378,2003,Central African Rep.,ODA-like,"5,508,234","2,500,000",CAF,Africa
379,2004,Central African Rep.,ODA-like,"8,243,176","4,000,000",CAF,Africa
381,2007,Central African Rep.,ODA-like,"18,677,333","11,475,863",CAF,Africa
383,2007,Central African Rep.,ODA-like,"6,184,621","3,800,000",CAF,Africa
384,2006,Central African Rep.,Vague (Official Finance),"10,484,643","5,700,000",CAF,Africa
386,2007,Central African Rep.,ODA-like,"680,798","418,301",CAF,Africa
390,2001,Comoros,ODA-like,"5,493,468","2,416,314",COM,Africa
391,2002,Comoros,OOF-like,"90,798","40,173",COM,Africa
392,2009,Togo,Vague (Official Finance),"241,422,295","177,895,889",TGO,Africa
394,2003,Comoros,ODA-like,,,COM,Africa
395,2005,Comoros,ODA-like,,,COM,Africa
397,2007,Chad,OOF-like,"149,732,934","92,000,000",TCD,Africa
398,2007,Chad,Vague (Official Finance),"39,060,765","24,000,000",TCD,Africa
399,2009,Djibouti,ODA-like,"3,973,111","2,927,651",DJI,Africa
400,2007,Chad,Vague (Official Finance),"48,825,957","30,000,000",TCD,Africa
401,2007,Chad,Vague (Official Finance),"1,790,285","1,100,000",TCD,Africa
403,2006,Comoros,ODA-like,"55,182,330","30,000,000",COM,Africa
407,2006,"Congo, Dem. Rep.",ODA-like,"8,277,349","4,500,000",COD,Africa
408,2007,Comoros,ODA-like,"5,348,422","3,286,217",COM,Africa
409,2007,Comoros,ODA-like,"520,810","320,000",COM,Africa
411,2004,Comoros,ODA-like,"15,662,035","7,600,000",COM,Africa
412,2010,Comoros,ODA-like,"5,573,034","4,431,139",COM,Africa
413,2006,"Congo, Dem. Rep.",ODA-like,"2,391,234","1,300,000",COD,Africa
415,2000,"Congo, Rep.",Vague (Official Finance),"48,888,177","21,068,118",COG,Africa
417,2000,"Congo, Dem. Rep.",ODA-like,,,COD,Africa
420,2011,Central African Rep.,ODA-like,"32,932,694","29,669,433",CAF,Africa
421,2001,Djibouti,OOF-like,"27,391,014","12,048,000",DJI,Africa
422,2004,Djibouti,ODA-like,"3,582,365","1,738,342",DJI,Africa
426,2001,Djibouti,ODA-like,"5,479,112","2,410,000",DJI,Africa
427,2006,Equatorial Guinea,ODA-like,"4,598,527","2,500,000",GNQ,Africa
429,2003,"Congo, Rep.",ODA-like,"11,372,811","5,161,732",COG,Africa
430,2003,"Congo, Rep.",ODA-like,"5,686,405","2,580,866",COG,Africa
431,2004,Djibouti,ODA-like,,,DJI,Africa
432,2003,"Congo, Dem. Rep.",ODA-like,"5,323,871","2,416,324",COD,Africa
433,2005,Djibouti,ODA-like,"2,396,938","1,220,358",DJI,Africa
434,2004,"Congo, Rep.",OOF-like,"490,468,999","238,000,000",COG,Africa
435,2004,Djibouti,ODA-like,"1,875,323","910,000",DJI,Africa
436,2006,Egypt,Vague (Official Finance),"919,705,497","500,000,000",EGY,Africa
438,2004,"Congo, Dem. Rep.",ODA-like,"14,938,949","7,249,123",COD,Africa
447,2000,"Congo, Rep.",ODA-like,"56,039,627","24,150,000",COG,Africa
449,2008,"Congo, Dem. Rep.",Vague (Official Finance),"48,261,958","35,000,000",COD,Africa
450,2007,"Congo, Dem. Rep.",OOF-like,"4,882,595,677","3,000,000,000",COD,Africa
452,2009,"Congo, Rep.",ODA-like,"10,059,262","7,412,329",COG,Africa
453,2009,"Congo, Dem. Rep.",ODA-like,"794,622","585,530",COD,Africa
454,2010,"Congo, Dem. Rep.",ODA-like,"12,577","10,000",COD,Africa
458,2010,"Congo, Rep.",ODA-like,"92,883,908","73,852,309",COG,Africa
459,2011,"Congo, Dem. Rep.",ODA-like,"8,589,290","7,738,188",COD,Africa
460,2011,"Congo, Dem. Rep.",OOF-like,"399,595,437","360,000,000",COD,Africa
461,2011,"Congo, Dem. Rep.",OOF-like,,,COD,Africa
463,2002,Egypt,ODA-like,"8,192,054","3,624,520",EGY,Africa
464,2002,Egypt,Vague (Official Finance),"27,306,848","12,081,734",EGY,Africa
468,2002,Egypt,OOF-like,"9,040,705","4,000,000",EGY,Africa
471,2002,Egypt,Vague (Official Finance),"7,534,479","3,333,580",EGY,Africa
472,2001,Equatorial Guinea,ODA-like,,,GNQ,Africa
476,2002,Equatorial Guinea,ODA-like,"14,126,101","6,250,000",GNQ,Africa
477,2005,Equatorial Guinea,Vague (Official Finance),,,GNQ,Africa
478,2005,Equatorial Guinea,Vague (Official Finance),,,GNQ,Africa
484,2006,Equatorial Guinea,OOF-like,"3,678,821,986","2,000,000,000",GNQ,Africa
486,2007,Equatorial Guinea,ODA-like,"122,064,892","75,000,000",GNQ,Africa
488,2008,Equatorial Guinea,ODA-like,"11,513,250","8,349,511",GNQ,Africa
493,2000,Eritrea,ODA-like,"23,204,815","10,000,000",ERI,Africa
494,2001,Eritrea,ODA-like,"6,820,472","3,000,000",ERI,Africa
495,2001,Eritrea,ODA-like,"6,820,472","3,000,000",ERI,Africa
497,2002,Eritrea,ODA-like,"5,424,423","2,400,000",ERI,Africa
498,2004,Cote D'Ivoire,ODA-like,,,CIV,Africa
500,2004,Egypt,ODA-like,"7,469,531","3,624,589",EGY,Africa
502,2004,Egypt,ODA-like,,,EGY,Africa
505,2010,Cameroon,Vague (Official Finance),"55,866,428","44,419,585",CMR,Africa
506,2005,Egypt,Vague (Official Finance),"32,015,273","16,300,000",EGY,Africa
512,2006,Egypt,OOF-like,,,EGY,Africa
513,2006,Egypt,OOF-like,"18,394,110","10,000,000",EGY,Africa
517,2008,Gabon,ODA-like,"92,913,948","67,382,018",GAB,Africa
523,2010,Algeria,ODA-like,"55,730,345","44,311,385",DZA,Africa
532,2007,Gabon,ODA-like,,,GAB,Africa
543,2002,Egypt,ODA-like,,,EGY,Africa
546,2007,Egypt,OOF-like,,,EGY,Africa
548,2007,Egypt,OOF-like,"325,506,379","200,000,000",EGY,Africa
549,2007,Egypt,ODA-like,"1,069,684","657,243",EGY,Africa
554,2003,Eritrea,ODA-like,"4,406,588","2,000,000",ERI,Africa
555,2003,Eritrea,ODA-like,,,ERI,Africa
556,2003,Eritrea,ODA-like,,,ERI,Africa
557,2000,Ethiopia,ODA-like,"464,096","200,000",ETH,Africa
558,2004,Eritrea,ODA-like,"3,734,766","1,812,294",ERI,Africa
560,2002,Ethiopia,ODA-like,"1,911,479","845,721",ETH,Africa
562,2002,Ethiopia,ODA-like,"2,730,685","1,208,173",ETH,Africa
564,2006,Eritrea,ODA-like,"38,259,749","20,800,000",ERI,Africa
566,2003,Eritrea,ODA-like,,,ERI,Africa
568,2006,Eritrea,ODA-like,"198,104,564","107,700,000",ERI,Africa
574,2007,Eritrea,ODA-like,,,ERI,Africa
575,2000,Ethiopia,ODA-like,"56,060","24,159",ETH,Africa
577,2007,Eritrea,ODA-like,"97,651,914","60,000,000",ERI,Africa
578,2007,Eritrea,Vague (Official Finance),"106,968,448","65,724,333",ERI,Africa
580,2004,Gabon,ODA-like,"12,364,765","6,000,000",GAB,Africa
582,2008,Eritrea,ODA-like,,,ERI,Africa
586,2004,Gabon,ODA-like,"10,303,971","5,000,000",GAB,Africa
588,2010,Eritrea,ODA-like,"7,546,189","6,000,000",ERI,Africa
589,2001,Ethiopia,ODA-like,"27,281,887","12,000,000",ETH,Africa
592,2001,Ethiopia,ODA-like,"7,729,868","3,400,000",ETH,Africa
594,2001,Ethiopia,ODA-like,"278,639,003","122,560,000",ETH,Africa
602,2001,Ethiopia,ODA-like,"227,349","100,000",ETH,Africa
606,2010,Kenya,ODA-like,"119,050,365","94,657,348",KEN,Africa
609,2004,Gabon,OOF-like,,,GAB,Africa
610,2004,Gabon,ODA-like,,,GAB,Africa
612,2005,Gabon,ODA-like,,,GAB,Africa
615,2008,Egypt,Vague (Official Finance),"96,523,917","70,000,000",EGY,Africa
619,2008,Egypt,ODA-like,"2,068,370","1,500,000",EGY,Africa
620,2008,Egypt,OOF-like,"4,964,087","3,600,000",EGY,Africa
623,2004,Gabon,ODA-like,,,GAB,Africa
627,2002,Ethiopia,ODA-like,"1,356,106","600,000",ETH,Africa
628,2002,Ethiopia,ODA-like,"2,638,004","1,167,168",ETH,Africa
639,2002,Ethiopia,ODA-like,,,ETH,Africa
642,2002,Ethiopia,ODA-like,"5,461,370","2,416,347",ETH,Africa
645,2002,Ethiopia,ODA-like,"45,203,524","20,000,000",ETH,Africa
653,2005,Ethiopia,ODA-like,"84,261,056","42,900,000",ETH,Africa
654,2005,Ethiopia,ODA-like,,,ETH,Africa
655,2007,Gabon,ODA-like,,,GAB,Africa
656,2009,Gabon,ODA-like,,,GAB,Africa
657,2006,Ethiopia,ODA-like,,,ETH,Africa
658,2009,Gabon,Vague (Official Finance),,,GAB,Africa
660,2009,Gabon,ODA-like,,,GAB,Africa
661,2005,Ethiopia,ODA-like,"294,619","150,000",ETH,Africa
665,2009,Egypt,OOF-like,"298,561,733","220,000,000",EGY,Africa
667,2009,Egypt,Vague (Official Finance),,,EGY,Africa
672,2003,Egypt,OOF-like,,,EGY,Africa
675,2009,Botswana,ODA-like,,,BWA,Africa
678,2009,Botswana,ODA-like,"15,173","11,181",BWA,Africa
680,2010,Tanzania,Vague (Official Finance),"89,354,319","71,045,921",TZA,Africa
684,2010,Gabon,OOF-like,"138,221,020","109,900,000",GAB,Africa
691,2011,Gabon,ODA-like,"142,078,378","128,000,000",GAB,Africa
694,2001,Cote D'Ivoire,OOF-like,"2,746,734","1,208,157",CIV,Africa
695,2003,Sudan,OOF-like,"743,501,477","337,450,000",SDN,Africa
700,2004,Cote D'Ivoire,ODA-like,"4,979,688","2,416,393",CIV,Africa
703,2007,Cote D'Ivoire,ODA-like,"10,187,636","6,259,562",CIV,Africa
706,2004,Cote D'Ivoire,Vague (Official Finance),,,CIV,Africa
709,2007,Cote D'Ivoire,ODA-like,"2,227,550","1,368,668",CIV,Africa
710,2007,Cote D'Ivoire,ODA-like,"25,469,091","15,648,904",CIV,Africa
712,2007,Cote D'Ivoire,ODA-like,,,CIV,Africa
713,2006,Cote D'Ivoire,ODA-like,"7,387,332","4,016,140",CIV,Africa
715,2007,Cote D'Ivoire,Vague (Official Finance),"48,825,957","30,000,000",CIV,Africa
717,2007,Cote D'Ivoire,ODA-like,"142,627","87,634",CIV,Africa
718,2008,Cote D'Ivoire,ODA-like,"80,061,009","58,060,953",CIV,Africa
719,2008,Cote D'Ivoire,ODA-like,"30,793","22,331",CIV,Africa
725,2006,Ethiopia,Vague (Official Finance),"382,597,487","208,000,000",ETH,Africa
726,2006,Ethiopia,ODA-like,,,ETH,Africa
727,2006,Ethiopia,ODA-like,"4,863,584","2,644,099",ETH,Africa
730,2002,Guinea-Bissau,ODA-like,,,GNB,Africa
733,2009,Central African Rep.,ODA-like,,,CAF,Africa
734,2005,Lesotho,ODA-like,"8,838,572","4,500,000",LSO,Africa
738,2007,Guinea-Bissau,Vague (Official Finance),"97,651,914","60,000,000",GNB,Africa
739,2006,Guinea-Bissau,OOF-like,"1,471,529","800,000",GNB,Africa
740,2007,Guinea-Bissau,ODA-like,"35,805,702","22,000,000",GNB,Africa
741,2005,Lesotho,ODA-like,"2,779,719","1,415,244",LSO,Africa
742,2007,Guinea-Bissau,ODA-like,"6,510,128","4,000,000",GNB,Africa
744,2005,Lesotho,ODA-like,,,LSO,Africa
748,2005,Guinea-Bissau,ODA-like,"39,283","20,000",GNB,Africa
750,2002,Mozambique,ODA-like,"271,221","120,000",MOZ,Africa
752,2006,Lesotho,ODA-like,"55,182,330","30,000,000",LSO,Africa
758,2002,Mozambique,ODA-like,,,MOZ,Africa
762,2011,Madagascar,ODA-like,,,MDG,Africa
765,2011,Madagascar,Vague (Official Finance),"1,420,784","1,280,000",MDG,Africa
766,2003,Mozambique,ODA-like,"11,897,786","5,400,000",MOZ,Africa
767,2003,Mozambique,ODA-like,,,MOZ,Africa
774,2008,Malawi,ODA-like,"96,523,917","70,000,000",MWI,Africa
776,2009,Malawi,Vague (Official Finance),"125,260,218","92,300,000",MWI,Africa
777,2009,Malawi,ODA-like,"88,211,421","65,000,000",MWI,Africa
778,2009,Malawi,ODA-like,"54,283,952","40,000,000",MWI,Africa
779,2009,Malawi,ODA-like,,,MWI,Africa
783,2007,Guinea-Bissau,ODA-like,"32,550,638","20,000,000",GNB,Africa
791,2009,Guinea-Bissau,ODA-like,"8,142,593","6,000,000",GNB,Africa
793,2009,Guinea-Bissau,ODA-like,"1,994,935","1,470,000",GNB,Africa
795,2000,Guinea-Bissau,ODA-like,"13,922,889","6,000,000",GNB,Africa
805,2009,Guinea-Bissau,ODA-like,,,GNB,Africa
806,2006,Guinea-Bissau,ODA-like,,,GNB,Africa
808,2005,Kenya,ODA-like,"51,992,597","26,471,095",KEN,Africa
810,2006,Kenya,OOF-like,"31,269,987","17,000,000",KEN,Africa
811,2006,Kenya,Vague (Official Finance),"77,255,262","42,000,000",KEN,Africa
820,2006,Kenya,ODA-like,"13,010,940","7,073,427",KEN,Africa
821,2006,Kenya,ODA-like,"1,153,462","627,082",KEN,Africa
822,2006,Kenya,ODA-like,"1,153,462","627,082",KEN,Africa
824,2008,Burundi,ODA-like,"2,335,304","1,693,583",BDI,Africa
825,2007,Burundi,ODA-like,"6,418,107","3,943,460",BDI,Africa
828,2011,Malawi,Vague (Official Finance),"88,798,986","80,000,000",MWI,Africa
829,2009,Malawi,ODA-like,"1,986,556","1,463,825",MWI,Africa
831,2011,Malawi,ODA-like,,,MWI,Africa
836,2001,Kenya,ODA-like,,,KEN,Africa
844,2003,Angola,ODA-like,"24,236,231","11,000,000",AGO,Africa
853,2009,Cote D'Ivoire,ODA-like,"13,570,988","10,000,000",CIV,Africa
857,2011,Cote D'Ivoire,Vague (Official Finance),"7,902,147","7,119,133",CIV,Africa
858,2002,Cote D'Ivoire,ODA-like,"81,920,545","36,245,202",CIV,Africa
861,2011,Cote D'Ivoire,ODA-like,"2,564,045","2,309,977",CIV,Africa
862,2011,Cote D'Ivoire,ODA-like,"3,086,062","2,780,267",CIV,Africa
863,2010,Cote D'Ivoire,ODA-like,,,CIV,Africa
874,2002,Guinea-Bissau,ODA-like,,,GNB,Africa
875,2003,Guinea-Bissau,ODA-like,"39,659,288","18,000,000",GNB,Africa
880,2002,Guinea-Bissau,ODA-like,,,GNB,Africa
881,2004,Guinea-Bissau,ODA-like,,,GNB,Africa
882,2004,Guinea-Bissau,ODA-like,"14,013,400","6,800,000",GNB,Africa
884,2005,Guinea-Bissau,ODA-like,"195,494","99,532",GNB,Africa
885,2004,Guinea-Bissau,Vague (Official Finance),,,GNB,Africa
887,2005,Guinea-Bissau,ODA-like,"1,964,127","1,000,000",GNB,Africa
902,2002,Madagascar,ODA-like,"9,040,705","4,000,000",MDG,Africa
905,2003,Madagascar,ODA-like,"7,985,806","3,624,486",MDG,Africa
908,2004,Madagascar,ODA-like,,,MDG,Africa
909,2004,Madagascar,ODA-like,"9,644,516","4,680,000",MDG,Africa
911,2004,Madagascar,ODA-like,,,MDG,Africa
912,2005,Madagascar,Vague (Official Finance),"27,497,781","14,000,000",MDG,Africa
913,2001,Lesotho,ODA-like,"10,563,098","4,646,203",LSO,Africa
920,2006,Madagascar,ODA-like,,,MDG,Africa
921,2003,Lesotho,ODA-like,,,LSO,Africa
922,2001,Lesotho,ODA-like,"1,320,387","580,775",LSO,Africa
924,2002,Lesotho,ODA-like,,,LSO,Africa
927,2003,Lesotho,ODA-like,"34,951","15,863",LSO,Africa
930,2003,Lesotho,ODA-like,"6,202,310","2,815,017",LSO,Africa
931,2003,Lesotho,Vague (Official Finance),"2,330,064","1,057,537",LSO,Africa
935,2000,Mozambique,ODA-like,"464,096","200,000",MOZ,Africa
936,2003,Lesotho,ODA-like,"5,825,160","2,643,842",LSO,Africa
940,2001,Mozambique,ODA-like,"341,024","150,000",MOZ,Africa
942,2005,Kenya,ODA-like,"36,394,818","18,529,766",KEN,Africa
944,2007,Kenya,OOF-like,,,KEN,Africa
953,2007,Ethiopia,ODA-like,"4,278,738","2,628,973",ETH,Africa
954,2003,Ethiopia,ODA-like,,,ETH,Africa
955,2008,Rwanda,ODA-like,"301,981,968","219,000,000",RWA,Africa
957,2007,Ethiopia,ODA-like,,,ETH,Africa
961,2007,Ethiopia,ODA-like,"30,109,340","18,500,000",ETH,Africa
963,2006,"Congo, Rep.",ODA-like,"6,920,770","3,762,492",COG,Africa
966,2008,Ethiopia,ODA-like,"7,937,727","5,756,510",ETH,Africa
