project_id,year,recipient_condensed,flow_class,usd_defl_2014,usd_current,recipient_iso3,recipient_region,special
147,2005,Central African Rep.,OOF-like,"132,539,308","67,480,003",CAF,Africa,
148,2011,Cote D'Ivoire,ODA-like,,,CIV,Africa,
150,2006,Sudan,Vague (Official Finance),"148,992,290","81,000,000",SDN,Africa,
151,2006,Ghana,OOF-like,"297,984,581","162,000,000",GHA,Africa,
152,2002,Angola,ODA-like,"203,415,860","90,000,000",AGO,Africa,
161,2007,"Congo, Rep.",ODA-like,"292,955,741","180,000,000",COG,Africa,
163,2002,Nigeria,ODA-like,452035244.6,200000000,NGA,Africa,
165,2005,Sudan,OOF-like,"392,825,436","200,000,000",SDN,Africa,
168,2005,Mauritania,ODA-like,"267,121,297","136,000,000",MRT,Africa,
173,2005,Nigeria,OOF-like,"584,818,868","297,750,000",NGA,Africa,
178,2003,Sudan,OOF-like,"1,143,509,457","519,000,000",SDN,Africa,
179,2008,Nigeria,OOF-like,"689,456,547","500,000,000",NGA,Africa,
183,2007,Ghana,OOF-like,"475,239,313","292,000,000",GHA,Africa,
195,2006,Nigeria,ODA-like,"919,705,497","500,000,000",NGA,Africa,
200,2005,Eritrea,ODA-like,42130528.01,21450000,ERI,Africa,
201,2009,Cameroon,OOF-like,"70,569,137","52,000,000",CMR,Africa,
202,2000,Kenya,ODA-like,"250,611,998","108,000,000",KEN,Africa,
205,2009,Equatorial Guinea,OOF-like,,,GNQ,Africa,
206,2002,Angola,Vague (Official Finance),,,AGO,Africa,
208,2006,Sudan,OOF-like,"53,342,919","29,000,000",SDN,Africa,
229,2008,Nigeria,OOF-like,"6,894,565","5,000,000",NGA,Africa,
230,2007,Tanzania,ODA-like,"7,320,417","4,497,864",TZA,Africa,
231,2007,Gabon,ODA-like,,,GAB,Africa,
233,2007,Togo,ODA-like,,,TGO,Africa,
234,2007,Mali,ODA-like,"83,817,892","51,500,000",MLI,Africa,
237,2006,Cape Verde,ODA-like,"8,093,408","4,400,000",CPV,Africa,
239,2006,Rwanda,ODA-like,,,RWA,Africa,
248,2005,Sudan,Vague (Official Finance),"63,834,133","32,500,000",SDN,Africa,
276,2002,Cameroon,ODA-like,"233,480","103,302",CMR,Africa,
277,2001,Burundi,ODA-like,"103,949,848","45,722,577",BDI,Africa,
278,2002,Cameroon,ODA-like,"12,971,102","5,738,978",CMR,Africa,
281,2003,Cameroon,ODA-like,"758,187","344,115",CMR,Africa,
284,2003,Cameroon,ODA-like,,,CMR,Africa,
285,2007,Gabon,ODA-like,,,GAB,Africa,
287,2003,Cameroon,ODA-like,344975.2635,156572.5238,CMR,Africa,
288,2002,Burundi,ODA-like,,,BDI,Africa,
289,2011,Cameroon,OOF-like,"601,169,136","541,600,000",CMR,Africa,
290,2003,Burundi,ODA-like,"7,985,806","3,624,486",BDI,Africa,
295,2005,Cameroon,ODA-like,,,CMR,Africa,
296,2006,Cameroon,ODA-like,,,CMR,Africa,
301,2010,Botswana,ODA-like,,,BWA,Africa,
311,2007,Cameroon,ODA-like,,,CMR,Africa,
314,2007,Cameroon,OOF-like,42787379.28,26289733.23,CMR,Africa,
315,2007,Cameroon,ODA-like,44106114.28,27100000,CMR,Africa,
316,2007,Burundi,ODA-like,"45,568,559","27,998,566",BDI,Africa,
317,2007,Cameroon,ODA-like,,,CMR,Africa,
319,2007,Burundi,ODA-like,"1,759,570","1,081,128",BDI,Africa,
332,2002,Algeria,ODA-like,"6,780,529","3,000,000",DZA,Africa,
334,2001,"Congo, Rep.",ODA-like,"170,511,792","75,000,000",COG,Africa,
337,2000,Botswana,ODA-like,,,BWA,Africa,
338,2010,Cameroon,ODA-like,,,CMR,Africa,
339,2010,Cameroon,ODA-like,18403273.56,14632505,CMR,Africa,
344,2009,Cameroon,ODA-like,1051911430,775117802.4,CMR,Africa,
345,2008,Burundi,ODA-like,"2,757,826","2,000,000",BDI,Africa,
347,2010,Cameroon,ODA-like,53327.04466,42400.51342,CMR,Africa,
349,2011,Cameroon,ODA-like,"83,249,049","75,000,000",CMR,Africa,
350,2011,Cameroon,ODA-like,"469,524,639","423,000,000",CMR,Africa,
352,2003,Central African Rep.,ODA-like,45491243.54,20646926.22,CAF,Africa,
353,2003,Central African Rep.,ODA-like,,,CAF,Africa,
354,2007,Zambia,OOF-like,528947865,325000000,ZMB,Africa,
355,2008,Burundi,OOF-like,793772.6616,575650.9713,BDI,Africa,
356,2011,Cameroon,ODA-like,"1,717,858","1,547,638",CMR,Africa,
359,2006,Cape Verde,ODA-like,"4,615,021","2,508,967",CPV,Africa,
360,2008,Djibouti,ODA-like,3413900.221,2475790.706,DJI,Africa,
367,2006,Cape Verde,ODA-like,,,CPV,Africa,
369,2006,"Congo, Rep.",Vague (Official Finance),,,COG,Africa,
370,2007,Cape Verde,ODA-like,,,CPV,Africa,
371,2007,Cape Verde,ODA-like,,,CPV,Africa,
375,2003,Central African Rep.,ODA-like,"4,186,258","1,900,000",CAF,Africa,
376,2003,Central African Rep.,ODA-like,,,CAF,Africa,
377,2003,Central African Rep.,ODA-like,"246,411","111,838",CAF,Africa,
378,2003,Central African Rep.,ODA-like,"5,508,234","2,500,000",CAF,Africa,
379,2004,Central African Rep.,ODA-like,"8,243,176","4,000,000",CAF,Africa,
381,2007,Central African Rep.,ODA-like,18677333.24,11475863.13,CAF,Africa,
383,2007,Central African Rep.,ODA-like,6184621.191,3800000,CAF,Africa,
384,2006,Central African Rep.,Vague (Official Finance),"10,484,643","5,700,000",CAF,Africa,
386,2007,Central African Rep.,ODA-like,"680,798","418,301",CAF,Africa,
390,2001,Comoros,ODA-like,"5,493,468","2,416,314",COM,Africa,
391,2002,Comoros,OOF-like,"90,798","40,173",COM,Africa,
392,2009,Togo,Vague (Official Finance),"241,422,295","177,895,889",TGO,Africa,
394,2003,Comoros,ODA-like,,,COM,Africa,
395,2005,Comoros,ODA-like,,,COM,Africa,
397,2007,Chad,OOF-like,149732934.1,92000000,TCD,Africa,
398,2007,Chad,Vague (Official Finance),"39,060,765","24,000,000",TCD,Africa,
400,2007,Chad,Vague (Official Finance),"48,825,957","30,000,000",TCD,Africa,
401,2007,Chad,Vague (Official Finance),"1,790,285","1,100,000",TCD,Africa,
403,2006,Comoros,ODA-like,"55,182,330","30,000,000",COM,Africa,
407,2006,"Congo, Dem. Rep.",ODA-like,"8,277,349","4,500,000",COD,Africa,
408,2007,Comoros,ODA-like,"5,348,422","3,286,217",COM,Africa,
409,2007,Comoros,ODA-like,520810.2055,320000,COM,Africa,
411,2004,Comoros,ODA-like,15662035.26,7600000,COM,Africa,
412,2010,Comoros,ODA-like,5573034.466,4431138.537,COM,Africa,
415,2000,"Congo, Rep.",Vague (Official Finance),48888176.74,21068117.77,COG,Africa,
417,2000,"Congo, Dem. Rep.",ODA-like,,,COD,Africa,
420,2011,Central African Rep.,ODA-like,32932694.46,29669432.88,CAF,Africa,
421,2001,Djibouti,OOF-like,"27,391,014","12,048,000",DJI,Africa,
426,2001,Djibouti,ODA-like,"5,479,112","2,410,000",DJI,Africa,
427,2006,Equatorial Guinea,ODA-like,"4,598,527","2,500,000",GNQ,Africa,
430,2003,"Congo, Rep.",ODA-like,"5,686,405","2,580,866",COG,Africa,
431,2004,Djibouti,ODA-like,,,DJI,Africa,
433,2005,Djibouti,ODA-like,"2,396,938","1,220,358",DJI,Africa,
434,2004,"Congo, Rep.",OOF-like,"490,468,999","238,000,000",COG,Africa,
435,2004,Djibouti,ODA-like,"1,875,323","910,000",DJI,Africa,
438,2004,"Congo, Dem. Rep.",ODA-like,"14,938,949","7,249,123",COD,Africa,
447,2000,"Congo, Rep.",ODA-like,"56,039,627","24,150,000",COG,Africa,
449,2008,"Congo, Dem. Rep.",Vague (Official Finance),48261958.27,35000000,COD,Africa,
452,2009,"Congo, Rep.",ODA-like,10059262.31,7412328.711,COG,Africa,
453,2009,"Congo, Dem. Rep.",ODA-like,"794,622","585,530",COD,Africa,
454,2010,"Congo, Dem. Rep.",ODA-like,"12,577","10,000",COD,Africa,
459,2011,"Congo, Dem. Rep.",ODA-like,"8,589,290","7,738,188",COD,Africa,
460,2011,"Congo, Dem. Rep.",OOF-like,"399,595,437","360,000,000",COD,Africa,
468,2002,Egypt,OOF-like,"9,040,705","4,000,000",EGY,Africa,
472,2001,Equatorial Guinea,ODA-like,,,GNQ,Africa,
476,2002,Equatorial Guinea,ODA-like,"14,126,101","6,250,000",GNQ,Africa,
477,2005,Equatorial Guinea,Vague (Official Finance),,,GNQ,Africa,
478,2005,Equatorial Guinea,Vague (Official Finance),,,GNQ,Africa,
486,2007,Equatorial Guinea,ODA-like,"122,064,892","75,000,000",GNQ,Africa,
493,2000,Eritrea,ODA-like,"23,204,815","10,000,000",ERI,Africa,
494,2001,Eritrea,ODA-like,"6,820,472","3,000,000",ERI,Africa,
495,2001,Eritrea,ODA-like,"6,820,472","3,000,000",ERI,Africa,
497,2002,Eritrea,ODA-like,5424422.935,2400000,ERI,Africa,
498,2004,Cote D'Ivoire,ODA-like,,,CIV,Africa,
500,2004,Egypt,ODA-like,"7,469,531","3,624,589",EGY,Africa,
502,2004,Egypt,ODA-like,,,EGY,Africa,
505,2010,Cameroon,Vague (Official Finance),"55,866,428","44,419,585",CMR,Africa,
506,2005,Egypt,Vague (Official Finance),"32,015,273","16,300,000",EGY,Africa,
512,2006,Egypt,OOF-like,,,EGY,Africa,
513,2006,Egypt,OOF-like,"18,394,110","10,000,000",EGY,Africa,
517,2008,Gabon,ODA-like,92913947.52,67382018.47,GAB,Africa,
523,2010,Algeria,ODA-like,"55,730,345","44,311,385",DZA,Africa,
532,2007,Gabon,ODA-like,,,GAB,Africa,
543,2002,Egypt,ODA-like,,,EGY,Africa,
546,2007,Egypt,OOF-like,,,EGY,Africa,
549,2007,Egypt,ODA-like,"1,069,684","657,243",EGY,Africa,
554,2003,Eritrea,ODA-like,"4,406,588","2,000,000",ERI,Africa,
555,2003,Eritrea,ODA-like,,,ERI,Africa,
556,2003,Eritrea,ODA-like,,,ERI,Africa,
557,2000,Ethiopia,ODA-like,"464,096","200,000",ETH,Africa,
558,2004,Eritrea,ODA-like,"3,734,766","1,812,294",ERI,Africa,
560,2002,Ethiopia,ODA-like,"1,911,479","845,721",ETH,Africa,
564,2006,Eritrea,ODA-like,"38,259,749","20,800,000",ERI,Africa,
566,2003,Eritrea,ODA-like,,,ERI,Africa,
568,2006,Eritrea,ODA-like,"198,104,564","107,700,000",ERI,Africa,
570,2000,"Africa, regional",ODA-like,,,R_Africa,Africa,1
574,2007,Eritrea,ODA-like,,,ERI,Africa,
575,2000,Ethiopia,ODA-like,"56,060","24,159",ETH,Africa,
577,2007,Eritrea,ODA-like,"97,651,914","60,000,000",ERI,Africa,
578,2007,Eritrea,Vague (Official Finance),"106,968,448","65,724,333",ERI,Africa,
582,2008,Eritrea,ODA-like,,,ERI,Africa,
586,2004,Gabon,ODA-like,10303970.57,5000000,GAB,Africa,
588,2010,Eritrea,ODA-like,"7,546,189","6,000,000",ERI,Africa,
589,2001,Ethiopia,ODA-like,27281886.71,12000000,ETH,Africa,
592,2001,Ethiopia,ODA-like,7729867.9,3400000,ETH,Africa,
594,2001,Ethiopia,ODA-like,"278,639,003","122,560,000",ETH,Africa,
601,2001,"Africa, regional",ODA-like,,,R_Africa,Africa,1
602,2001,Ethiopia,ODA-like,"227,349","100,000",ETH,Africa,
606,2010,Kenya,ODA-like,"119,050,365","94,657,348",KEN,Africa,
609,2004,Gabon,OOF-like,,,GAB,Africa,
612,2005,Gabon,ODA-like,,,GAB,Africa,
620,2008,Egypt,OOF-like,"4,964,087","3,600,000",EGY,Africa,
623,2004,Gabon,ODA-like,,,GAB,Africa,
628,2002,Ethiopia,ODA-like,"2,638,004","1,167,168",ETH,Africa,
653,2005,Ethiopia,ODA-like,84261056.01,42900000,ETH,Africa,
654,2005,Ethiopia,ODA-like,,,ETH,Africa,
655,2007,Gabon,ODA-like,,,GAB,Africa,
656,2009,Gabon,ODA-like,,,GAB,Africa,
657,2006,Ethiopia,ODA-like,,,ETH,Africa,
658,2009,Gabon,Vague (Official Finance),,,GAB,Africa,
660,2009,Gabon,ODA-like,,,GAB,Africa,
661,2005,Ethiopia,ODA-like,294619.077,150000,ETH,Africa,
665,2009,Egypt,OOF-like,298561733.3,220000000,EGY,Africa,
667,2009,Egypt,Vague (Official Finance),,,EGY,Africa,
672,2003,Egypt,OOF-like,,,EGY,Africa,
675,2009,Botswana,ODA-like,,,BWA,Africa,
678,2009,Botswana,ODA-like,"15,173","11,181",BWA,Africa,
680,2010,Tanzania,Vague (Official Finance),89354319.26,71045921.21,TZA,Africa,
684,2010,Gabon,OOF-like,138221019.9,109900000,GAB,Africa,
691,2011,Gabon,ODA-like,"142,078,378","128,000,000",GAB,Africa,
694,2001,Cote D'Ivoire,OOF-like,"2,746,734","1,208,157",CIV,Africa,
695,2003,Sudan,OOF-like,"743,501,477","337,450,000",SDN,Africa,
698,2002,"Africa, regional",ODA-like,,,R_Africa,Africa,1
706,2004,Cote D'Ivoire,Vague (Official Finance),,,CIV,Africa,
709,2007,Cote D'Ivoire,ODA-like,2227550.451,1368667.773,CIV,Africa,
710,2007,Cote D'Ivoire,ODA-like,"25,469,091","15,648,904",CIV,Africa,
712,2007,Cote D'Ivoire,ODA-like,,,CIV,Africa,
713,2006,Cote D'Ivoire,ODA-like,"7,387,332","4,016,140",CIV,Africa,
715,2007,Cote D'Ivoire,Vague (Official Finance),"48,825,957","30,000,000",CIV,Africa,
717,2007,Cote D'Ivoire,ODA-like,"142,627","87,634",CIV,Africa,
718,2008,Cote D'Ivoire,ODA-like,"80,061,009","58,060,953",CIV,Africa,
719,2008,Cote D'Ivoire,ODA-like,30792.69563,22331.13586,CIV,Africa,
725,2006,Ethiopia,Vague (Official Finance),"382,597,487","208,000,000",ETH,Africa,
726,2006,Ethiopia,ODA-like,,,ETH,Africa,
727,2006,Ethiopia,ODA-like,"4,863,584","2,644,099",ETH,Africa,
733,2009,Central African Rep.,ODA-like,,,CAF,Africa,
734,2005,Lesotho,ODA-like,"8,838,572","4,500,000",LSO,Africa,
739,2006,Guinea-Bissau,OOF-like,"1,471,529","800,000",GNB,Africa,
740,2007,Guinea-Bissau,ODA-like,"35,805,702","22,000,000",GNB,Africa,
741,2005,Lesotho,ODA-like,2779718.815,1415243.801,LSO,Africa,
742,2007,Guinea-Bissau,ODA-like,6510127.569,4000000,GNB,Africa,
744,2005,Lesotho,ODA-like,,,LSO,Africa,
748,2005,Guinea-Bissau,ODA-like,"39,283","20,000",GNB,Africa,
750,2002,Mozambique,ODA-like,"271,221","120,000",MOZ,Africa,
752,2006,Lesotho,ODA-like,"55,182,330","30,000,000",LSO,Africa,
758,2002,Mozambique,ODA-like,,,MOZ,Africa,
762,2011,Madagascar,ODA-like,,,MDG,Africa,
765,2011,Madagascar,Vague (Official Finance),"1,420,784","1,280,000",MDG,Africa,
766,2003,Mozambique,ODA-like,11897786.26,5400000,MOZ,Africa,
767,2003,Mozambique,ODA-like,,,MOZ,Africa,
774,2008,Malawi,ODA-like,"96,523,917","70,000,000",MWI,Africa,
776,2009,Malawi,Vague (Official Finance),"125,260,218","92,300,000",MWI,Africa,
777,2009,Malawi,ODA-like,88211421.19,65000000,MWI,Africa,
778,2009,Malawi,ODA-like,54283951.5,40000000,MWI,Africa,
779,2009,Malawi,ODA-like,,,MWI,Africa,
783,2007,Guinea-Bissau,ODA-like,32550637.85,20000000,GNB,Africa,
784,2007,"Africa, regional",ODA-like,,,R_Africa,Africa,1
793,2009,Guinea-Bissau,ODA-like,1994935.218,1470000,GNB,Africa,
795,2000,Guinea-Bissau,ODA-like,"13,922,889","6,000,000",GNB,Africa,
799,2010,"Africa, regional",ODA-like,,,R_Africa,Africa,1
805,2009,Guinea-Bissau,ODA-like,,,GNB,Africa,
806,2006,Guinea-Bissau,ODA-like,,,GNB,Africa,
808,2005,Kenya,ODA-like,51992596.94,26471094.88,KEN,Africa,
810,2006,Kenya,OOF-like,"31,269,987","17,000,000",KEN,Africa,
811,2006,Kenya,Vague (Official Finance),"77,255,262","42,000,000",KEN,Africa,
821,2006,Kenya,ODA-like,"1,153,462","627,082",KEN,Africa,
822,2006,Kenya,ODA-like,"1,153,462","627,082",KEN,Africa,
823,2010,"Africa, regional",ODA-like,,,R_Africa,Africa,1
824,2008,Burundi,ODA-like,"2,335,304","1,693,583",BDI,Africa,
825,2007,Burundi,ODA-like,"6,418,107","3,943,460",BDI,Africa,
828,2011,Malawi,Vague (Official Finance),"88,798,986","80,000,000",MWI,Africa,
829,2009,Malawi,ODA-like,1986555.609,1463825.351,MWI,Africa,
836,2001,Kenya,ODA-like,,,KEN,Africa,
844,2003,Angola,ODA-like,"24,236,231","11,000,000",AGO,Africa,
845,2009,"Africa, regional",ODA-like,54148241.62,39900000,R_Africa,Africa,1
858,2002,Cote D'Ivoire,ODA-like,"81,920,545","36,245,202",CIV,Africa,
861,2011,Cote D'Ivoire,ODA-like,"2,564,045","2,309,977",CIV,Africa,
862,2011,Cote D'Ivoire,ODA-like,"3,086,062","2,780,267",CIV,Africa,
863,2010,Cote D'Ivoire,ODA-like,,,CIV,Africa,
875,2003,Guinea-Bissau,ODA-like,"39,659,288","18,000,000",GNB,Africa,
880,2002,Guinea-Bissau,ODA-like,,,GNB,Africa,
881,2004,Guinea-Bissau,ODA-like,,,GNB,Africa,
884,2005,Guinea-Bissau,ODA-like,"195,494","99,532",GNB,Africa,
885,2004,Guinea-Bissau,Vague (Official Finance),,,GNB,Africa,
887,2005,Guinea-Bissau,ODA-like,1964127.18,1000000,GNB,Africa,
902,2002,Madagascar,ODA-like,"9,040,705","4,000,000",MDG,Africa,
905,2003,Madagascar,ODA-like,"7,985,806","3,624,486",MDG,Africa,
908,2004,Madagascar,ODA-like,,,MDG,Africa,
909,2004,Madagascar,ODA-like,"9,644,516","4,680,000",MDG,Africa,
911,2004,Madagascar,ODA-like,,,MDG,Africa,
912,2005,Madagascar,Vague (Official Finance),"27,497,781","14,000,000",MDG,Africa,
913,2001,Lesotho,ODA-like,10563098.18,4646202.789,LSO,Africa,
920,2006,Madagascar,ODA-like,,,MDG,Africa,
921,2003,Lesotho,ODA-like,,,LSO,Africa,
922,2001,Lesotho,ODA-like,"1,320,387","580,775",LSO,Africa,
924,2002,Lesotho,ODA-like,,,LSO,Africa,
927,2003,Lesotho,ODA-like,34950.96062,15863.05076,LSO,Africa,
930,2003,Lesotho,ODA-like,"6,202,310","2,815,017",LSO,Africa,
931,2003,Lesotho,Vague (Official Finance),"2,330,064","1,057,537",LSO,Africa,
935,2000,Mozambique,ODA-like,464096.2925,200000,MOZ,Africa,
936,2003,Lesotho,ODA-like,"5,825,160","2,643,842",LSO,Africa,
940,2001,Mozambique,ODA-like,"341,024","150,000",MOZ,Africa,
942,2005,Kenya,ODA-like,"36,394,818","18,529,766",KEN,Africa,
944,2007,Kenya,OOF-like,,,KEN,Africa,
954,2003,Ethiopia,ODA-like,,,ETH,Africa,
955,2008,Rwanda,ODA-like,"301,981,968","219,000,000",RWA,Africa,
961,2007,Ethiopia,ODA-like,"30,109,340","18,500,000",ETH,Africa,
963,2006,"Congo, Rep.",ODA-like,"6,920,770","3,762,492",COG,Africa,
966,2008,Ethiopia,ODA-like,"7,937,727","5,756,510",ETH,Africa,
968,2009,"Congo, Rep.",ODA-like,6785493.938,5000000,COG,Africa,
974,2009,Cameroon,ODA-like,72469075.26,53400000,CMR,Africa,
975,2009,Togo,Vague (Official Finance),"43,111,124","31,767,123",TGO,Africa,
976,2011,Zimbabwe,ODA-like,"49,949,430","45,000,000",ZWE,Africa,
977,2010,Zambia,OOF-like,"1,257,698,088","1,000,000,000",ZMB,Africa,
979,2010,Sudan,Vague (Official Finance),"293,043,655","233,000,000",SDN,Africa,
980,2009,Ethiopia,ODA-like,"474,984,576","350,000,000",ETH,Africa,
981,2010,Togo,ODA-like,,,TGO,Africa,
995,2009,Equatorial Guinea,Vague (Official Finance),"348,774,388","257,000,000",GNQ,Africa,
996,2001,Mozambique,ODA-like,"50,016,792","22,000,000",MOZ,Africa,
999,2007,Madagascar,ODA-like,"68,356,339","42,000,000",MDG,Africa,
1007,2007,Sudan,OOF-like,"1,106,721,687","680,000,000",SDN,Africa,
1011,2002,Kenya,ODA-like,6780528.668,3000000,KEN,Africa,
1013,2008,Sudan,OOF-like,165469571.2,120000000,SDN,Africa,
1018,2008,Madagascar,OOF-like,"193,777,767","140,529,354",MDG,Africa,
1020,2008,Madagascar,ODA-like,,,MDG,Africa,
1025,2003,Kenya,ODA-like,"113,160","51,359",KEN,Africa,
1029,2002,Kenya,ODA-like,"143,505","63,493",KEN,Africa,
1030,2011,Cameroon,ODA-like,"76,145,131","68,600,000",CMR,Africa,
1032,2003,Kenya,ODA-like,"51,158","23,219",KEN,Africa,
1033,2002,Kenya,ODA-like,2260176.223,1000000,KEN,Africa,
1038,2004,Kenya,ODA-like,,,KEN,Africa,
1039,2004,Kenya,ODA-like,"130,144","63,152",KEN,Africa,
1043,2005,Kenya,ODA-like,49103179.49,25000000,KEN,Africa,
1046,2005,Kenya,OOF-like,,,KEN,Africa,
1050,2009,Sudan,OOF-like,"162,851,855","120,000,000",SDN,Africa,
1051,2009,Sudan,OOF-like,"130,281,484","96,000,000",SDN,Africa,
1052,2009,Sudan,OOF-like,32570370.9,24000000,SDN,Africa,
1053,2009,Sudan,OOF-like,"135,709,879","100,000,000",SDN,Africa,
1054,2008,Equatorial Guinea,Vague (Official Finance),"413,673,928","300,000,000",GNQ,Africa,
1056,2007,Equatorial Guinea,ODA-like,,,GNQ,Africa,
1059,2009,Sudan,OOF-like,298561733.3,220000000,SDN,Africa,
1060,2008,"Congo, Rep.",ODA-like,,,COG,Africa,
1065,2005,Kenya,ODA-like,47139052.32,24000000,KEN,Africa,
1068,2005,Kenya,Vague (Official Finance),,,KEN,Africa,
1071,2006,"Congo, Rep.",ODA-like,,,COG,Africa,
1074,2006,"Congo, Rep.",OOF-like,,,COG,Africa,
1075,2006,"Congo, Rep.",ODA-like,,,COG,Africa,
1076,2006,"Congo, Rep.",ODA-like,,,COG,Africa,
1077,2007,Ethiopia,Vague (Official Finance),216013133.2,132724362.7,ETH,Africa,
1080,2002,Mali,Vague (Official Finance),,,MLI,Africa,
1087,2003,"Africa, regional",ODA-like,,,R_Africa,Africa,1
1092,2008,Lesotho,ODA-like,"1,378,913","1,000,000",LSO,Africa,
1093,2009,Lesotho,ODA-like,,,LSO,Africa,
1096,2007,Lesotho,ODA-like,"12,622,277","7,755,471",LSO,Africa,
1097,2010,Lesotho,ODA-like,"628,849","500,000",LSO,Africa,
1099,2000,Mauritius,ODA-like,"39,780,352","17,143,146",MUS,Africa,
1102,2004,Mozambique,ODA-like,7418858.809,3600000,MOZ,Africa,
1108,2005,Mozambique,ODA-like,"14,730,954","7,500,000",MOZ,Africa,
1111,2005,Mozambique,ODA-like,1964127.18,1000000,MOZ,Africa,
1112,2007,Kenya,Vague (Official Finance),"134,566,308","82,681,211",KEN,Africa,
