project_id,year,recipient_condensed,flow_class,usd_current,recipient_iso3,recipient_region
438,2004,"Congo, Dem. Rep.",ODA-like,7249123,COD,Africa
447,2000,"Congo, Rep.",ODA-like,24150000,COG,Africa
449,2008,"Congo, Dem. Rep.",Vague (Official Finance),35000000,COD,Africa
452,2009,"Congo, Rep.",ODA-like,7412329,COG,Africa
453,2009,"Congo, Dem. Rep.",ODA-like,585530,COD,Africa
454,2010,"Congo, Dem. Rep.",ODA-like,10000,COD,Africa
459,2011,"Congo, Dem. Rep.",ODA-like,7738188,COD,Africa
460,2011,"Congo, Dem. Rep.",OOF-like,360000000,COD,Africa
468,2002,Egypt,OOF-like,4000000,EGY,Africa
472,2001,Equatorial Guinea,ODA-like, ,GNQ,Africa
476,2002,Equatorial Guinea,ODA-like,6250000,GNQ,Africa
477,2005,Equatorial Guinea,Vague (Official Finance), ,GNQ,Africa
478,2005,Equatorial Guinea,Vague (Official Finance), ,GNQ,Africa
486,2007,Equatorial Guinea,ODA-like,75000000,GNQ,Africa
493,2000,Eritrea,ODA-like,10000000,ERI,Africa
494,2001,Eritrea,ODA-like,3000000,ERI,Africa
495,2001,Eritrea,ODA-like,3000000,ERI,Africa
497,2002,Eritrea,ODA-like,2400000,ERI,Africa
498,2004,Cote D'Ivoire,ODA-like, ,CIV,Africa
500,2004,Egypt,ODA-like,3624589,EGY,Africa
502,2004,Egypt,ODA-like, ,EGY,Africa
505,2010,Cameroon,Vague (Official Finance),44419585,CMR,Africa
506,2005,Egypt,Vague (Official Finance),16300000,EGY,Africa
512,2006,Egypt,OOF-like, ,EGY,Africa
513,2006,Egypt,OOF-like,10000000,EGY,Africa
517,2008,Gabon,ODA-like,67382018,GAB,Africa
523,2010,Algeria,ODA-like,44311385,DZA,Africa
532,2007,Gabon,ODA-like, ,GAB,Africa
543,2002,Egypt,ODA-like, ,EGY,Africa
546,2007,Egypt,OOF-like, ,EGY,Africa
549,2007,Egypt,ODA-like,657243,EGY,Africa
554,2003,Eritrea,ODA-like,2000000,ERI,Africa
555,2003,Eritrea,ODA-like, ,ERI,Africa
556,2003,Eritrea,ODA-like, ,ERI,Africa
557,2000,Ethiopia,ODA-like,200000,ETH,Africa
558,2004,Eritrea,ODA-like,1812294,ERI,Africa
560,2002,Ethiopia,ODA-like,845721,ETH,Africa
564,2006,Eritrea,ODA-like,20800000,ERI,Africa
566,2003,Eritrea,ODA-like, ,ERI,Africa
568,2006,Eritrea,ODA-like,107700000,ERI,Africa
570,2000,"Africa, regional",ODA-like, ,"RWA; Africa, regional; AGO; ERI; ETH; NAM",Africa
574,2007,Eritrea,ODA-like, ,ERI,Africa
575,2000,Ethiopia,ODA-like,24159,ETH,Africa
577,2007,Eritrea,ODA-like,60000000,ERI,Africa
578,2007,Eritrea,Vague (Official Finance),65724333,ERI,Africa
582,2008,Eritrea,ODA-like, ,ERI,Africa
586,2004,Gabon,ODA-like,5000000,GAB,Africa
588,2010,Eritrea,ODA-like,6000000,ERI,Africa
589,2001,Ethiopia,ODA-like,12000000,ETH,Africa
592,2001,Ethiopia,ODA-like,3400000,ETH,Africa
594,2001,Ethiopia,ODA-like,122560000,ETH,Africa
601,2001,"Africa, regional",ODA-like, ,"NAM; Africa, regional; ERI; RWA; ETH; AGO",Africa
602,2001,Ethiopia,ODA-like,100000,ETH,Africa
606,2010,Kenya,ODA-like,94657348,KEN,Africa
609,2004,Gabon,OOF-like, ,GAB,Africa
612,2005,Gabon,ODA-like, ,GAB,Africa
620,2008,Egypt,OOF-like,3600000,EGY,Africa
623,2004,Gabon,ODA-like, ,GAB,Africa
628,2002,Ethiopia,ODA-like,1167168,ETH,Africa
653,2005,Ethiopia,ODA-like,42900000,ETH,Africa
654,2005,Ethiopia,ODA-like, ,ETH,Africa
655,2007,Gabon,ODA-like, ,GAB,Africa
656,2009,Gabon,ODA-like, ,GAB,Africa
657,2006,Ethiopia,ODA-like, ,ETH,Africa
658,2009,Gabon,Vague (Official Finance), ,GAB,Africa
660,2009,Gabon,ODA-like, ,GAB,Africa
661,2005,Ethiopia,ODA-like,150000,ETH,Africa
665,2009,Egypt,OOF-like,220000000,EGY,Africa
667,2009,Egypt,Vague (Official Finance), ,EGY,Africa
672,2003,Egypt,OOF-like, ,EGY,Africa
675,2009,Botswana,ODA-like, ,BWA,Africa
678,2009,Botswana,ODA-like,11181,BWA,Africa
680,2010,Tanzania,Vague (Official Finance),71045921,TZA,Africa
684,2010,Gabon,OOF-like,109900000,GAB,Africa
691,2011,Gabon,ODA-like,128000000,GAB,Africa
694,2001,Cote D'Ivoire,OOF-like,1208157,CIV,Africa
695,2003,Sudan,OOF-like,337450000,SDN,Africa
698,2002,"Africa, regional",ODA-like, ,"CIV; Africa, regional",Africa
706,2004,Cote D'Ivoire,Vague (Official Finance), ,CIV,Africa
709,2007,Cote D'Ivoire,ODA-like,1368668,CIV,Africa
710,2007,Cote D'Ivoire,ODA-like,15648904,CIV,Africa
712,2007,Cote D'Ivoire,ODA-like, ,CIV,Africa
713,2006,Cote D'Ivoire,ODA-like,4016140,CIV,Africa
715,2007,Cote D'Ivoire,Vague (Official Finance),30000000,CIV,Africa
717,2007,Cote D'Ivoire,ODA-like,87634,CIV,Africa
718,2008,Cote D'Ivoire,ODA-like,58060953,CIV,Africa
719,2008,Cote D'Ivoire,ODA-like,22331,CIV,Africa
725,2006,Ethiopia,Vague (Official Finance),208000000,ETH,Africa
726,2006,Ethiopia,ODA-like, ,ETH,Africa
727,2006,Ethiopia,ODA-like,2644099,ETH,Africa
733,2009,Central African Rep.,ODA-like, ,CAF,Africa
734,2005,Lesotho,ODA-like,4500000,LSO,Africa
739,2006,Guinea-Bissau,OOF-like,800000,GNB,Africa
740,2007,Guinea-Bissau,ODA-like,22000000,GNB,Africa
741,2005,Lesotho,ODA-like,1415244,LSO,Africa
742,2007,Guinea-Bissau,ODA-like,4000000,GNB,Africa
744,2005,Lesotho,ODA-like, ,LSO,Africa
748,2005,Guinea-Bissau,ODA-like,20000,GNB,Africa
750,2002,Mozambique,ODA-like,120000,MOZ,Africa
752,2006,Lesotho,ODA-like,30000000,LSO,Africa
758,2002,Mozambique,ODA-like, ,MOZ,Africa
762,2011,Madagascar,ODA-like, ,MDG,Africa
765,2011,Madagascar,Vague (Official Finance),1280000,MDG,Africa
766,2003,Mozambique,ODA-like,5400000,MOZ,Africa
767,2003,Mozambique,ODA-like, ,MOZ,Africa
774,2008,Malawi,ODA-like,70000000,MWI,Africa
776,2009,Malawi,Vague (Official Finance),92300000,MWI,Africa
777,2009,Malawi,ODA-like,65000000,MWI,Africa
778,2009,Malawi,ODA-like,40000000,MWI,Africa
779,2009,Malawi,ODA-like, ,MWI,Africa
783,2007,Guinea-Bissau,ODA-like,20000000,GNB,Africa
784,2007,"Africa, regional",ODA-like, ,"BDI; TCD; MOZ; AGO; Africa, regional; GNB",Africa
793,2009,Guinea-Bissau,ODA-like,1470000,GNB,Africa
795,2000,Guinea-Bissau,ODA-like,6000000,GNB,Africa
799,2010,"Africa, regional",ODA-like, ,"Africa, regional; MOZ; AGO; TLS; CPV; GNB",Africa
805,2009,Guinea-Bissau,ODA-like, ,GNB,Africa
806,2006,Guinea-Bissau,ODA-like, ,GNB,Africa
808,2005,Kenya,ODA-like,26471095,KEN,Africa
810,2006,Kenya,OOF-like,17000000,KEN,Africa
811,2006,Kenya,Vague (Official Finance),42000000,KEN,Africa
821,2006,Kenya,ODA-like,627082,KEN,Africa
822,2006,Kenya,ODA-like,627082,KEN,Africa
823,2010,"Africa, regional",ODA-like, ,"Africa, regional; ZWE",Africa
824,2008,Burundi,ODA-like,1693583,BDI,Africa
825,2007,Burundi,ODA-like,3943460,BDI,Africa
828,2011,Malawi,Vague (Official Finance),80000000,MWI,Africa
829,2009,Malawi,ODA-like,1463825,MWI,Africa
836,2001,Kenya,ODA-like, ,KEN,Africa
844,2003,Angola,ODA-like,11000000,AGO,Africa
845,2009,"Africa, regional",ODA-like,39900000,"Africa, regional; TZA; ZMB",Africa
858,2002,Cote D'Ivoire,ODA-like,36245202,CIV,Africa
861,2011,Cote D'Ivoire,ODA-like,2309977,CIV,Africa
862,2011,Cote D'Ivoire,ODA-like,2780267,CIV,Africa
863,2010,Cote D'Ivoire,ODA-like, ,CIV,Africa
875,2003,Guinea-Bissau,ODA-like,18000000,GNB,Africa
880,2002,Guinea-Bissau,ODA-like, ,GNB,Africa
881,2004,Guinea-Bissau,ODA-like, ,GNB,Africa
884,2005,Guinea-Bissau,ODA-like,99532,GNB,Africa
885,2004,Guinea-Bissau,Vague (Official Finance), ,GNB,Africa
887,2005,Guinea-Bissau,ODA-like,1000000,GNB,Africa
902,2002,Madagascar,ODA-like,4000000,MDG,Africa
905,2003,Madagascar,ODA-like,3624486,MDG,Africa
908,2004,Madagascar,ODA-like, ,MDG,Africa
909,2004,Madagascar,ODA-like,4680000,MDG,Africa
911,2004,Madagascar,ODA-like, ,MDG,Africa
912,2005,Madagascar,Vague (Official Finance),14000000,MDG,Africa
913,2001,Lesotho,ODA-like,4646203,LSO,Africa
920,2006,Madagascar,ODA-like, ,MDG,Africa
921,2003,Lesotho,ODA-like, ,LSO,Africa
922,2001,Lesotho,ODA-like,580775,LSO,Africa
924,2002,Lesotho,ODA-like, ,LSO,Africa
927,2003,Lesotho,ODA-like,15863,LSO,Africa
930,2003,Lesotho,ODA-like,2815017,LSO,Africa
931,2003,Lesotho,Vague (Official Finance),1057537,LSO,Africa
935,2000,Mozambique,ODA-like,200000,MOZ,Africa
936,2003,Lesotho,ODA-like,2643842,LSO,Africa
940,2001,Mozambique,ODA-like,150000,MOZ,Africa
942,2005,Kenya,ODA-like,18529766,KEN,Africa
944,2007,Kenya,OOF-like, ,KEN,Africa
954,2003,Ethiopia,ODA-like, ,ETH,Africa
955,2008,Rwanda,ODA-like,219000000,RWA,Africa
961,2007,Ethiopia,ODA-like,18500000,ETH,Africa
963,2006,"Congo, Rep.",ODA-like,3762492,COG,Africa
966,2008,Ethiopia,ODA-like,5756510,ETH,Africa
968,2009,"Congo, Rep.",ODA-like,5000000,COG,Africa
974,2009,Cameroon,ODA-like,53400000,CMR,Africa
975,2009,Togo,Vague (Official Finance),31767123,TGO,Africa
976,2011,Zimbabwe,ODA-like,45000000,ZWE,Africa
977,2010,Zambia,OOF-like,1000000000,ZMB,Africa
979,2010,Sudan,Vague (Official Finance),233000000,SDN,Africa
980,2009,Ethiopia,ODA-like,350000000,ETH,Africa
981,2010,Togo,ODA-like, ,TGO,Africa
995,2009,Equatorial Guinea,Vague (Official Finance),257000000,GNQ,Africa
996,2001,Mozambique,ODA-like,22000000,MOZ,Africa
999,2007,Madagascar,ODA-like,42000000,MDG,Africa
1007,2007,Sudan,OOF-like,680000000,SDN,Africa
1011,2002,Kenya,ODA-like,3000000,KEN,Africa
1013,2008,Sudan,OOF-like,120000000,SDN,Africa
1018,2008,Madagascar,OOF-like,140529354,MDG,Africa
1020,2008,Madagascar,ODA-like, ,MDG,Africa
1025,2003,Kenya,ODA-like,51359,KEN,Africa
1029,2002,Kenya,ODA-like,63493,KEN,Africa
1030,2011,Cameroon,ODA-like,68600000,CMR,Africa
1032,2003,Kenya,ODA-like,23219,KEN,Africa
1033,2002,Kenya,ODA-like,1000000,KEN,Africa
1038,2004,Kenya,ODA-like, ,KEN,Africa
1039,2004,Kenya,ODA-like,63152,KEN,Africa
1043,2005,Kenya,ODA-like,25000000,KEN,Africa
1046,2005,Kenya,OOF-like, ,KEN,Africa
1050,2009,Sudan,OOF-like,120000000,SDN,Africa
1051,2009,Sudan,OOF-like,96000000,SDN,Africa
1052,2009,Sudan,OOF-like,24000000,SDN,Africa
1053,2009,Sudan,OOF-like,100000000,SDN,Africa
1054,2008,Equatorial Guinea,Vague (Official Finance),300000000,GNQ,Africa
1056,2007,Equatorial Guinea,ODA-like, ,GNQ,Africa
1059,2009,Sudan,OOF-like,220000000,SDN,Africa
1060,2008,"Congo, Rep.",ODA-like, ,COG,Africa
1065,2005,Kenya,ODA-like,24000000,KEN,Africa
1068,2005,Kenya,Vague (Official Finance), ,KEN,Africa
1071,2006,"Congo, Rep.",ODA-like, ,COG,Africa
1074,2006,"Congo, Rep.",OOF-like, ,COG,Africa
1075,2006,"Congo, Rep.",ODA-like, ,COG,Africa
1076,2006,"Congo, Rep.",ODA-like, ,COG,Africa
1077,2007,Ethiopia,Vague (Official Finance),132724363,ETH,Africa
1080,2002,Mali,Vague (Official Finance), ,MLI,Africa
1087,2003,"Africa, regional",ODA-like, ,"Africa, regional; ETH; MLI; GHA",Africa
1092,2008,Lesotho,ODA-like,1000000,LSO,Africa
1093,2009,Lesotho,ODA-like, ,LSO,Africa
1096,2007,Lesotho,ODA-like,7755471,LSO,Africa
1097,2010,Lesotho,ODA-like,500000,LSO,Africa
1099,2000,Mauritius,ODA-like,17143146,MUS,Africa
1102,2004,Mozambique,ODA-like,3600000,MOZ,Africa
1108,2005,Mozambique,ODA-like,7500000,MOZ,Africa
1111,2005,Mozambique,ODA-like,1000000,MOZ,Africa
1112,2007,Kenya,Vague (Official Finance),82681211,KEN,Africa
1119,2005,Mozambique,ODA-like,3000000,MOZ,Africa
1124,2006,Namibia,Vague (Official Finance), ,NAM,Africa
1129,2005,Kenya,OOF-like, ,KEN,Africa
1130,2008,"Africa, regional",ODA-like, ,"Africa, regional",Africa
1131,2002,Namibia,ODA-like,5217847,NAM,Africa
1133,2008,Kenya,ODA-like,7228011,KEN,Africa
1134,2009,Kenya,ODA-like,3000000,KEN,Africa
1140,2008,Kenya,ODA-like,136464855,KEN,Africa
1141,2002,Mauritius,ODA-like,12081734,MUS,Africa
1144,2005,Mauritius,ODA-like,5085395,MUS,Africa
1149,2009,Kenya,ODA-like, ,KEN,Africa
1156,2009,Mauritius,ODA-like,260000000,MUS,Africa
1160,2011,Seychelles,ODA-like,6190550,SYC,Africa
1161,2011,Seychelles,ODA-like, ,SYC,Africa
1163,2009,Mauritius,ODA-like,8448113,MUS,Africa
1170,2006,Mozambique,ODA-like, ,MOZ,Africa
1176,2006,Mozambique,ODA-like,20000,MOZ,Africa
1181,2007,Mozambique,ODA-like,30000000,MOZ,Africa
1186,2007,Mozambique,ODA-like,154900000,MOZ,Africa
1192,2007,Mozambique,ODA-like,7229677,MOZ,Africa
1193,2007,Mozambique,ODA-like, ,MOZ,Africa
1197,2008,Mozambique,ODA-like,18000000,MOZ,Africa
1198,2008,Mozambique,ODA-like,3000000,MOZ,Africa
1206,2006,Mozambique,ODA-like,70000000,MOZ,Africa
1211,2007,Mozambique,ODA-like, ,MOZ,Africa
1215,2009,Mozambique,ODA-like,6000000,MOZ,Africa
1219,2010,Mozambique,ODA-like,2200000,MOZ,Africa
1220,2009,Mozambique,ODA-like,750000,MOZ,Africa
1222,2010,Mozambique,Vague (Official Finance),65000000,MOZ,Africa
1225,2004,Kenya,ODA-like, ,KEN,Africa
1227,2005,Namibia,ODA-like, ,NAM,Africa
1228,2005,Namibia,OOF-like,78625,NAM,Africa
1230,2010,Mozambique,ODA-like, ,MOZ,Africa
1231,2010,Mozambique,ODA-like,78600,MOZ,Africa
1233,2010,Mozambique,ODA-like, ,MOZ,Africa
1240,2011,Mozambique,ODA-like,681600000,MOZ,Africa
1241,2007,Namibia,ODA-like,42723124,NAM,Africa
1242,2007,Namibia,ODA-like,5251680,NAM,Africa
1243,2000,Ghana,ODA-like,29520000,GHA,Africa
1244,2001,Ghana,ODA-like,3624472,GHA,Africa
1253,2003,Namibia,OOF-like,30000,NAM,Africa
1255,2003,Namibia,ODA-like,7931525,NAM,Africa
1257,2005,Mauritania,ODA-like,7000000,MRT,Africa
1258,2003,Namibia,ODA-like, ,NAM,Africa
1264,2010,Kenya,OOF-like,50820000,KEN,Africa
1265,2010,Kenya,ODA-like,1262098,KEN,Africa
1266,2004,Namibia,ODA-like, ,NAM,Africa
1267,2009,Kenya,ODA-like,7032784,KEN,Africa
1269,2004,Namibia,Vague (Official Finance), ,NAM,Africa
1271,2010,Kenya,ODA-like,6058070,KEN,Africa
1275,2010,Kenya,ODA-like,138831,KEN,Africa
1277,2010,Kenya,ODA-like, ,KEN,Africa
1278,2006,Kenya,OOF-like,59638699,KEN,Africa
1280,2005,Namibia,ODA-like,4088,NAM,Africa
1286,2010,Kenya,ODA-like,15145176,KEN,Africa
1290,2011,Kenya,ODA-like,110909972,KEN,Africa
1291,2011,Kenya,ODA-like,22519791,KEN,Africa
1292,2005,Namibia,ODA-like, ,NAM,Africa
1296,2009,Namibia,ODA-like,7319127,NAM,Africa
1302,2006,Namibia,ODA-like, ,NAM,Africa
1303,2006,Namibia,ODA-like, ,NAM,Africa
1305,2006,Namibia,ODA-like, ,NAM,Africa
1306,2009,Namibia,ODA-like, ,NAM,Africa
1307,2006,Namibia,ODA-like, ,NAM,Africa
1308,2006,Namibia,ODA-like,2508328,NAM,Africa
1312,2007,Namibia,ODA-like, ,NAM,Africa
1313,2007,Namibia,ODA-like, ,NAM,Africa
1315,2007,Namibia,ODA-like,3943460,NAM,Africa
1318,2007,Namibia,OOF-like, ,NAM,Africa
1320,2007,Namibia,ODA-like, ,NAM,Africa
1325,2010,Mauritius,ODA-like,8770676,MUS,Africa
1331,2006,Mauritania,ODA-like,2500000,MRT,Africa
1336,2000,Namibia,Vague (Official Finance),1729149,NAM,Africa
1337,2009,Namibia,ODA-like, ,NAM,Africa
1341,2008,Ethiopia,ODA-like,4000000,ETH,Africa
1346,2008,Ethiopia,ODA-like, ,ETH,Africa
1356,2000,Tanzania,ODA-like, ,TZA,Africa
1359,2000,Tanzania,ODA-like,4586577,TZA,Africa
1360,2000,Tanzania,ODA-like,20000,TZA,Africa
1361,2001,Tanzania,ODA-like,19200000,TZA,Africa
1364,2001,"Africa, regional",ODA-like,11980671,"Africa, regional; ZMB; TZA",Africa
1372,2011,Mali,ODA-like, ,MLI,Africa
1374,2002,Tanzania,ODA-like,50000,TZA,Africa
1375,2009,Ethiopia,OOF-like,326000000,ETH,Africa
1378,2009,Ethiopia,ODA-like, ,ETH,Africa
1380,2009,Ethiopia,ODA-like,99450000,ETH,Africa
1381,2009,Ethiopia,Vague (Official Finance),129907625,ETH,Africa
1382,2001,Nigeria,ODA-like, ,NGA,Africa
1385,2009,Ethiopia,ODA-like,9552031,ETH,Africa
1390,2010,Ethiopia,ODA-like,25100000,ETH,Africa
1392,2010,Ethiopia,ODA-like,7300000,ETH,Africa
1397,2003,Ghana,ODA-like, ,GHA,Africa
